Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,CPU_vel,GPU_name_encoded,Ram,first_type_name_encoded,first_size,second_type_name_encoded,second_size,Touchscreen,Ips,Inches,ppi,os_name_encoded,Price
10,0,26,2.7,2,16,3,1000,2,0,1,0,14.0,209.8006828649808,2,58600
17,3,27,1.1,2,4,0,32,2,0,0,1,14.0,157.3505121487356,2,5400
18,4,25,2.5,3,8,3,256,2,0,0,1,13.3,165.6321180513006,1,20700
10,3,25,1.6,3,8,3,256,2,0,0,0,17.3,106.11306214269258,1,14500
4,0,26,1.8,2,8,1,1000,2,0,1,1,13.3,165.6321180513006,2,17400
7,3,25,1.6,3,8,1,1000,2,0,0,1,17.3,127.33567457123111,2,18900
14,1,26,2.9,3,32,3,1000,2,0,1,0,17.3,254.67134914246222,2,126700
7,3,25,1.6,2,8,3,512,2,0,0,0,13.3,165.6321180513006,2,19900
7,1,26,2.8,3,16,3,256,0,1000,0,1,17.3,127.33567457123111,2,28600
7,3,26,1.8,3,8,3,256,2,0,0,0,17.3,127.33567457123111,2,21700
4,1,26,2.8,3,16,3,512,0,1000,0,1,15.6,282.42399616439724,2,38300
10,3,25,2.3,2,4,3,128,2,0,0,0,15.6,100.45466986113651,2,10200
0,3,26,2.7,3,8,1,1000,2,0,0,0,15.6,141.21199808219862,2,15400
10,1,26,2.8,3,16,3,512,0,1000,0,1,15.6,141.21199808219862,2,36300
4,5,27,3.0,3,16,3,256,0,1000,0,0,15.6,282.42399616439724,2,63400
10,1,26,2.8,3,16,3,512,2,0,0,0,15.6,141.21199808219862,1,29000
4,3,24,2.4,2,6,1,1000,2,0,1,0,15.6,100.45466986113651,2,9100
4,4,26,1.8,2,8,3,256,2,0,1,1,13.3,331.2642361026012,2,40400
4,4,26,1.8,2,8,3,256,2,0,0,0,13.3,165.6321180513006,2,30100
10,3,25,2.5,2,8,3,256,2,0,0,0,15.6,100.45466986113651,2,12400
0,3,26,2.8,3,8,1,1000,2,0,0,0,15.6,141.21199808219862,1,16100
2,1,26,2.8,3,16,3,256,0,1000,0,0,17.3,127.33567457123111,2,29200
7,3,24,2.0,2,4,1,0,2,0,0,0,15.6,141.21199808219862,1,7200
10,3,25,2.5,2,8,3,256,2,0,0,0,15.6,141.21199808219862,1,11400
8,4,26,2.7,2,8,3,512,2,0,0,1,13.0,199.69207064108247,2,31100
4,4,26,1.8,0,8,3,256,2,0,0,1,13.3,165.6321180513006,2,19300
10,3,25,2.5,3,8,1,1000,2,0,0,0,17.3,106.11306214269258,1,12200
7,3,26,1.8,3,8,3,256,2,0,0,0,14.0,157.3505121487356,2,21400
4,4,25,1.6,2,8,3,256,2,0,0,0,14.0,157.3505121487356,2,23800
4,0,26,1.8,2,16,3,512,2,0,1,0,13.3,165.6321180513006,2,26500
4,3,25,1.6,0,8,3,256,2,0,0,0,15.6,141.21199808219862,1,14000
10,0,25,1.6,2,8,3,256,2,0,0,1,14.0,157.3505121487356,2,18600
16,4,26,2.5,2,8,3,256,2,0,0,0,13.3,165.6321180513006,2,28300
7,3,25,1.6,2,8,1,1000,2,0,0,0,15.6,141.21199808219862,2,16400
4,1,26,2.8,3,16,3,256,0,1000,0,1,17.3,127.33567457123111,2,51000
0,3,26,2.7,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,17200
4,3,26,2.7,0,16,1,1000,2,0,1,0,15.6,141.21199808219862,2,17800
2,3,25,2.5,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,15900
2,3,25,2.5,3,8,3,256,0,0,0,0,17.3,127.33567457123111,2,18500
7,3,26,2.7,0,8,1,1000,2,0,0,0,15.6,141.21199808219862,2,26300
2,3,24,2.4,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,8200
7,3,16,1.5,0,4,1,0,2,0,0,0,15.6,100.45466986113651,2,6800
10,1,26,2.8,3,16,3,256,0,1000,0,1,15.6,141.21199808219862,2,31100
4,3,25,2.5,2,8,3,256,2,0,0,0,14.0,157.3505121487356,2,17800
0,0,25,2.3,2,8,3,256,2,0,1,1,13.3,165.6321180513006,2,14300
4,3,26,2.7,0,16,3,256,2,0,0,0,15.6,141.21199808219862,1,18600
