Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_brand,CPU_vel,GPU,first_size,first_type,second_size,second_type,Touchscreen,Ips,X_res,Y_res,ppi,os,Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,GPU_name_encoded,first_type_name_encoded,second_type_name_encoded,os_name_encoded
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 SSD +  1000 HDD,Nvidia GeForce 930MX,Windows 10,2.5,20300,Intel Core i5,1.6,Nvidia,128,SSD,1000,HDD,0,0,1920,1080,127.33567457123111,Windows,7,3,25,3,3,0,2
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.88,22700,Intel Core i5,1.6,Intel,256,SSD,0,None,0,1,1920,1080,141.21199808219862,Windows,4,4,25,2,3,2,2
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512 SSD,Intel HD Graphics 615,macOS,0.92,31300,Intel Core i5,1.3,Intel,512,SSD,0,None,0,1,2304,1440,226.41554716935852,Mac,1,4,25,2,3,2,0
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.63,17800,Intel Core i5,1.6,Intel,256,SSD,0,None,0,0,1920,1080,157.3505121487356,Windows,7,3,25,2,3,2,2
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128 SSD,AMD R4 Graphics,Windows 10,2.2,8200,AMD A6-Series 9220,2.5,AMD,128,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,10,3,7,0,3,2,2
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1000 HDD,AMD Radeon R5,Windows 10,2.1,8200,AMD A9-Series 9420,3.0,AMD,1000,HDD,0,None,0,0,1366,768,100.45466986113651,Windows,0,3,11,0,1,2,2
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,28000,Intel Core i7,2.8,Nvidia,128,SSD,1000,HDD,0,1,1920,1080,141.21199808219862,Windows,4,1,26,3,3,0,2
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,14500,Intel Core i7,1.8,Nvidia,256,SSD,0,None,0,1,1920,1080,141.21199808219862,Windows,7,4,26,3,3,2,2
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.96,12400,Intel Core i5,2.5,Intel,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,7,3,25,2,3,2,2
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,30100,Intel Core i7,2.8,Nvidia,128,SSD,1000,HDD,0,1,1920,1080,141.21199808219862,Windows,2,1,26,3,3,0,2
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.21,34200,Intel Core i7,1.8,Intel,256,SSD,0,None,0,1,1920,1080,165.6321180513006,Windows,4,4,26,2,3,2,2
